B2,B3,B4,B5,B6,B7
0.03865,0.0563,0.0522,0.1992,0.13325,0.08235
0.03535,0.0579,0.03885,0.2785,0.1507,0.0775
0.021,0.0413,0.0243,0.2207,0.0835,0.0408
0.0123,0.0293,0.0178,0.1587,0.0598,0.02865
0.0321,0.058,0.04605,0.2549,0.14685,0.08475
0.0273,0.0523,0.0351,0.24485,0.13105,0.06895
0.0324,0.0591,0.0391,0.3116,0.1356,0.0759
0.0236,0.0407,0.0296,0.2137,0.0873,0.0423
0.0224,0.04065,0.0295,0.1735,0.0898,0.04655
0.0236,0.03965,0.0293,0.19,0.1191,0.06645
0.0473,0.0591,0.0443,0.1097,0.0696,0.0408
0.01985,0.03875,0.02875,0.2083,0.1054,0.05535
0.0196,0.0367,0.0348,0.189,0.0985,0.0516
0.0245,0.0428,0.02875,0.2147,0.10315,0.05595
0.0212,0.038,0.0254,0.1837,0.0929,0.0475
0.027,0.0447,0.0296,0.2039,0.1126,0.0621
0.0281,0.0475,0.035,0.2418,0.1134,0.0599
0.0238,0.0419,0.0242,0.2136,0.0996,0.0456
0.0207,0.042,0.0312,0.2038,0.0942,0.0535
0.0289,0.0549,0.043,0.2379,0.1286,0.067
0.02435,0.0483,0.03095,0.2359,0.1223,0.0635
0.0231,0.0283,0.0194,0.0675,0.03325,0.01935
0.0513,0.0606,0.0491,0.2072,0.0662,0.0379
0.056,0.0701,0.0583,0.2594,0.0698,0.0638
0.0216,0.04365,0.02975,0.23675,0.10115,0.0498
0.05485,0.0882,0.0861,0.3074,0.2068,0.1353
0.0406,0.0657,0.0632,0.244,0.1636,0.1039
0.0277,0.0482,0.0389,0.2381,0.1322,0.0719
0.0249,0.048,0.0339,0.24,0.0973,0.0503
0.0207,0.04305,0.0265,0.2029,0.08705,0.043
0.0192,0.0419,0.028,0.1834,0.0719,0.0387
0.0173,0.0336,0.0261,0.1653,0.0652,0.0411
0.0206,0.0395,0.0271,0.1806,0.0941,0.0491
0.0299,0.0519,0.0433,0.2184,0.1355,0.0748
0.0232,0.0418,0.0298,0.1386,0.0837,0.0552
0.02075,0.0409,0.02585,0.19145,0.0932,0.0481
0.0284,0.0493,0.0428,0.2421,0.129,0.0721
0.02105,0.0401,0.02725,0.1932,0.0946,0.0453
0.0294,0.0417,0.02725,0.13715,0.07665,0.04035
0.0314,0.055,0.0454,0.21615,0.1092,0.06735
0.0202,0.0396,0.0256,0.1843,0.0615,0.035
0.0385,0.0526,0.04575,0.1525,0.0827,0.05015
0.0268,0.0386,0.0244,0.178,0.0677,0.0369
0.02255,0.0436,0.02705,0.2158,0.1015,0.0493
0.02845,0.0547,0.04085,0.2603,0.15145,0.08365
0.0229,0.0403,0.028,0.173,0.0971,0.0495
0.0311,0.0548,0.04275,0.22445,0.13565,0.07625
0.041,0.06125,0.05135,0.2418,0.15295,0.0912
0.01895,0.0396,0.02395,0.2134,0.07535,0.0376
0.0247,0.0448,0.0316,0.2177,0.1039,0.0511
0.02895,0.0359,0.0319,0.10615,0.0831,0.0552
0.0221,0.0414,0.0263,0.17355,0.06585,0.03185
0.058,0.08,0.0797,0.2075,0.1187,0.0892
0.061,0.0755,0.0685,0.21315,0.11835,0.07075
0.0158,0.0327,0.0185,0.1656,0.0685,0.0333
0.0515,0.07425,0.0774,0.266,0.1844,0.11105
0.0271,0.0502,0.0336,0.2054,0.1074,0.0582
0.0325,0.057,0.04095,0.2522,0.12875,0.07315
0.0292,0.0451,0.0351,0.2177,0.1073,0.0537
0.0366,0.06075,0.04735,0.22745,0.0669,0.0395
0.0226,0.0412,0.0305,0.2767,0.0972,0.0462
0.0273,0.0451,0.0346,0.2011,0.0977,0.0514
0.0306,0.0503,0.0407,0.1978,0.1317,0.0715
0.0199,0.03655,0.02715,0.1679,0.09625,0.04655
0.0195,0.0417,0.0286,0.2245,0.0984,0.0494
0.024,0.0392,0.0266,0.1775,0.0709,0.0384
0.0336,0.0555,0.0515,0.233,0.1441,0.0831
0.02995,0.0537,0.0422,0.2365,0.14105,0.0799
0.0334,0.05465,0.04895,0.2236,0.11655,0.06285
0.0251,0.0432,0.02665,0.1915,0.0504,0.02695
0.0181,0.03505,0.02515,0.1713,0.0684,0.03435
